data,label
samsipile chirwol 2077,31-07-2077
am achten 06 2049,08-06-2049
26.11.77,26-11-2077
двадцать седьмого 05 2007,27-05-2007
der sieben und zwanzigste 06 2077,27-06-2077
07/02/77,07-02-2077
den tjugonde 02 2049,20-02-2049
pale si'wol 2007,08-10-2007
der erste 09 2049,01-09-2049
егерме сигезенче 04 2077,28-04-2077
двадвацть четвертого 04 2077,24-04-2077
le trois 02 2007,03-02-2007
23 février 2049,23-02-2049
01.01.2077,01-01-2077
am ein und dreizigsten juli 2049,31-07-2049
am ein und dreizigsten 03 2007,31-03-2007
05 maj 2077,05-05-2077
am dreizigsten mai 2077,30-05-2077
am zwölften oktober 2049,12-10-2049
второе апреля 2007,02-04-2007
девятнадцатого ноября 2077,19-11-2077
осамнаести 08 2049,18-08-2049
28.02.2077,28-02-2077
erster 09 2077,01-09-2077
унтугызынчы 09 2007,19-09-2007
семнадцатого февраля 2077,17-02-2077
10 декабря 2007,10-12-2007
двадцать пятое 11 2007,25-11-2007
25 февраля 2049,25-02-2049
четрнаести августа 2077,14-08-2077
19.03.49,19-03-2049
10/05/2077,10-05-2077
одиннаестог 01 2007,11-01-2007
le sept janvier 2007,07-01-2007
одиннаести 09 2077,11-09-2077
двадцать второе 10 2049,22-10-2049
15.05.2049,15-05-2049
siebter juni 2007,07-06-2007
12.11.07,12-11-2007
девятнадцатого 12 2049,19-12-2049
le vingt-cinq 03 2007,25-03-2007
26 августта 2077,26-08-2077
der sechs und zwanzigste juni 2077,26-06-2077
четвертого 11 2049,04-11-2049
den tjugofemte 08 2077,25-08-2077
19 февралда 2049,19-02-2049
пятнадцатого 11 2007,15-11-2007
der zwei und zwanzigster august 2007,22-08-2007
16 февраля 2007,16-02-2007
sipgu'e 07 2049,19-07-2049
девятнадцатое мая 2007,19-05-2007
erster 03 2007,01-03-2007
трећи јануара 2007,03-01-2007
sechster 01 2007,06-01-2007
тринаестог јуна 2077,13-06-2077
13.11.07,13-11-2007
18 november 2077,18-11-2077
sipile 10 2049,11-10-2049
le dix-huit 05 2049,18-05-2049
бишенче мартта 2049,05-03-2049
двадцать шестого августа 2007,26-08-2007
der drei und zwanzigste oktober 2007,23-10-2007
15 июня 2049,15-06-2049
тридцатого августа 2077,30-08-2077
o'e chirwol 2007,05-07-2007
11 новембра 2007,11-11-2007
05 avril 2077,05-04-2077
06.08.07,06-08-2007
двендацатое 05 2077,12-05-2077
егерменче 11 2007,20-11-2007
der neun und zwanzigste november 2007,29-11-2007
10/03/2077,10-03-2077
le premier 11 2077,01-11-2077
der vier und zwanzigste 04 2007,24-04-2007
13 januari 2077,13-01-2077
18/03/77,18-03-2077
isipgu'e 05 2077,29-05-2077
двадцать первого 07 2077,21-07-2077
десятое марта 2007,10-03-2007
двадцать седьмое февраля 2077,27-02-2077
04 april 2007,04-04-2007
same 11 2049,03-11-2049
седьмого июня 2049,07-06-2049
der zwanzigste oktober 2077,20-10-2077
sipchile 01 2007,17-01-2007
осмог 01 2049,08-01-2049
den tjugoandra februari 2077,22-02-2077
30 decembre 2049,30-12-2049
le neuf 05 2077,09-05-2077
isippale irwol 2007,28-01-2007
sechster september 2007,06-09-2007
шеснаестог 08 2077,16-08-2077
уналтынчы 02 2049,16-02-2049
30 september 2049,30-09-2049
првог марта 2049,01-03-2049
der vierzehnte august 2049,14-08-2049
am vierzehnten 10 2077,14-10-2077
03.10.2007,03-10-2007
11 février 2007,11-02-2007
den tjugotredje september 2077,23-09-2077
le onze semptembre 2007,11-09-2007
02 июля 2007,02-07-2007
18.03.2007,18-03-2007
28 gu'wol 2077,28-09-2077
шестого  05 2049,06-05-2049
sa 01 2077,04-01-2077
neunter oktober 2049,09-10-2049
22 märz 2049,22-03-2049
der dreizehnte 03 2007,13-03-2007
le vingt-sept 07 2007,27-07-2007
le vingt-neuf janvier 2049,29-01-2049
der neunzehnte märz 2077,19-03-2077
den tjugoåttonde augusti 2077,28-08-2077
22.02.2049,22-02-2049
двадесет седмог априла 2007,27-04-2007
05 јула 2049,05-07-2049
13.06.07,13-06-2007
den sjunde augusti 2077,07-08-2077
am neun und zwanzigsten 12 2007,29-12-2007
am zwei und zwanzigsten januar 2049,22-01-2049
12 децембра 2007,12-12-2007
23 маја 2049,23-05-2049
den tjugofjärde 05 2077,24-05-2077
двадцать восьмого 07 2049,28-07-2049
пятнадцатое 02 2077,15-02-2077
isipsame chirwol 2077,23-07-2077
осмог 05 2049,08-05-2049
am ein und dreizigsten 01 2077,31-01-2077
двадцать седьмого марта 2007,27-03-2007
десятого ноября 2049,10-11-2049
den tjugofjärde februari 2077,24-02-2077
am ein und zwanzigsten september 2049,21-09-2049
am neunten september 2007,09-09-2007
der elfte 06 2049,11-06-2049
06 декабря 2077,06-12-2077
23 dezember 2077,23-12-2077
10/07/77,10-07-2077
le neuf decembre 2049,09-12-2049
27 июлдә 2049,27-07-2049
двадесет други новембра 2007,22-11-2007
der dreizehnte 07 2049,13-07-2049
девети новембра 2077,09-11-2077
четрнаести априла 2077,14-04-2077
трећи марта 2049,03-03-2049
27 semptembre 2077,27-09-2077
isipie 09 2077,22-09-2077
двадесет други маја 2007,22-05-2007
22 sa'wol 2077,22-04-2077
den tjugosjätte december 2077,26-12-2077
31/03/2077,31-03-2077
der ein und zwanzigster 09 2007,21-09-2007
den elfte januari 2049,11-01-2049
isipile sa'wol 2007,21-04-2007
12 гыйнварда 2077,12-01-2077
деветнаести јула 2077,19-07-2077
der sechste juli 2049,06-07-2049
шестог 01 2077,06-01-2077
le treize 12 2077,13-12-2077
двадцатое июля 2007,20-07-2007
le vingt-sept 01 2049,27-01-2049
am neun und zwanzigsten märz 2077,29-03-2077
der acht und zwanzigste 10 2007,28-10-2007
егерме тугызынчы октябрдә 2077,29-10-2077
двадесет четвртог јануара 2049,24-01-2049
sippale 02 2007,18-02-2007
двадесет девети 03 2049,29-03-2049
30 декабря 2077,30-12-2077
егерме алтынчы 10 2007,26-10-2007
der fünfzehnte 10 2077,15-10-2077
der neunzehnte 04 2077,19-04-2077
одиннаестог 11 2049,11-11-2049
16.12.2077,16-12-2077
петнаестог 10 2049,15-10-2049
der ein und zwanzigster dezember 2007,21-12-2007
егерме бишенче мартта 2049,25-03-2049
восьмого  02 2007,08-02-2007
03 parwol 2007,03-08-2007
am dritten dezember 2049,03-12-2049
двадесет деветог 08 2049,29-08-2049
деветог 03 2077,09-03-2077
der ein und zwanzigster august 2049,21-08-2049
06 mars 2049,06-03-2049
den åttonde 07 2007,08-07-2007
le neuf 04 2049,09-04-2049
zweiter 12 2077,02-12-2077
den trettioförsta maj 2077,31-05-2077
двадесетог јануара 2077,20-01-2077
le vingt 09 2049,20-09-2049
26 јуна 2049,26-06-2049
18/10/2049,18-10-2049
27 février 2007,27-02-2007
am neun und zwanzigsten 08 2007,29-08-2007
am vierzehnten 08 2007,14-08-2007
den tjugosjätte januari 2077,26-01-2077
двадесет шестог априла 2007,26-04-2007
13 dezember 2049,13-12-2049
дүртенче 06 2049,04-06-2049
пятого марта 2007,05-03-2007
14 новембра 2049,14-11-2049
siebzehnter 04 2077,17-04-2077
утыз беренче августта 2049,31-08-2049
isip 05 2049,20-05-2049
пятнадцатое ноября 2049,15-11-2049
егерменче декабрдә 2049,20-12-2049
am fünf und zwanzigsten dezember 2049,25-12-2049
24/06/49,24-06-2049
шести маја 2077,06-05-2077
семнадцатого 02 2049,17-02-2049
siebzehnter 02 2007,17-02-2007
унҗиденче 09 2049,17-09-2049
24 августа 2077,24-08-2077
den elfte 07 2007,11-07-2007
двадесет трећог 04 2077,23-04-2077
19.06.77,19-06-2077
тринадцатое августа 2049,13-08-2049
08 juillet 2049,08-07-2049
20.05.07,20-05-2007
17 dezember 2077,17-12-2077
унтугызынчы февралда 2007,19-02-2007
03/02/77,03-02-2077
23 септембра 2049,23-09-2049
утызынчы октябрдә 2077,30-10-2077
am neunzehnten oktober 2049,19-10-2049
le quinze 01 2049,15-01-2049
восьмого  08 2077,08-08-2077
тридцатого ноября 2077,30-11-2077
20.09.77,20-09-2077
07.12.2077,07-12-2077
yuke 07 2077,06-07-2077
05 avril 2049,05-04-2049
первое 12 2007,01-12-2007
12/11/77,12-11-2077
15 parwol 2007,15-08-2007
25 september 2077,25-09-2077
am dritten 04 2077,03-04-2077
02/07/77,02-07-2077
двендацатое июля 2049,12-07-2049
den fjärtonde 07 2049,14-07-2049
achter 09 2077,08-09-2077
23.05.07,23-05-2007
den sextonde augusti 2049,16-08-2049
07/03/07,07-03-2007
десятое апреля 2007,10-04-2007
13 ноябрдә 2077,13-11-2077
le sept février 2007,07-02-2007
15.05.77,15-05-2077
18.12.49,18-12-2049
29 janvier 2007,29-01-2007
икенче августта 2007,02-08-2007
семнадцатого июня 2007,17-06-2007
den tjugofjärde oktober 2077,24-10-2077
двадцать девятого апреля 2077,29-04-2077
sipgu 02 2077,19-02-2077
23 мартта 2077,23-03-2077
sam 06 2049,03-06-2049
егерме өченче октябрдә 2049,23-10-2049
ile parwol 2077,01-08-2077
21 märz 2007,21-03-2007
den tredje 05 2077,03-05-2077
07 november 2077,07-11-2077
шеснаестог марта 2007,16-03-2007
13 маја 2049,13-05-2049
der achzehnte juli 2007,18-07-2007
den sjätte 05 2007,06-05-2007
11 января 2077,11-01-2077
первого декабря 2049,01-12-2049
den fjärde 02 2007,04-02-2007
петнаести 12 2007,15-12-2007
neunter juni 2007,09-06-2007
десятого 11 2077,10-11-2077
25.01.77,25-01-2077
am dreizehnten januar 2007,13-01-2007
den femte 01 2077,05-01-2077
25 февралда 2077,25-02-2077
двадцать седьмое 05 2049,27-05-2049
pal 12 2077,08-12-2077
der ein und dreizigster 10 2007,31-10-2007
12.08.49,12-08-2049
i'e si'wol 2077,02-10-2077
шести 10 2007,06-10-2007
24/03/2049,24-03-2049
le vingt-huit novembre 2007,28-11-2007
двадесет петог 06 2007,25-06-2007
den tjugotredje 07 2049,23-07-2049
den nittonde 08 2077,19-08-2077
25 novembre 2049,25-11-2049
den femtonde 12 2049,15-12-2049
sipsame gu'wol 2049,13-09-2049
07/08/07,07-08-2007
den femte 02 2007,05-02-2007
isipyuke 06 2007,26-06-2007
le neuf mars 2007,09-03-2007
am vier und zwanzigsten juni 2007,24-06-2007
sechster juni 2007,06-06-2007
